query_id,question_number,question,model,failure_category,failure_evidence,secondary_category
MORTAR_008,,Which devices serve as building power meters and which ones measure outside air temperature?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the class `brick:Power_Meter` to select power meters, but the Brick ontology defines the appropriate class as `brick:Building_Electrical_Meter` (or its subclasses). `brick:Power_Meter` does not exist in the schema, indicating the model invented an incorrect vocabulary term. The ground‑truth query correctly uses `brick:Building_Electrical_Meter` (with subclass reasoning).",
MORTAR_008,,Which electricity meters in the building and which outdoor temperature sensors are available?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query filters on brick:Electric_Meter and brick:Outdoor_Temperature_Sensor, which are not valid Brick classes. The ground‑truth uses the correct classes brick:Building_Electrical_Meter and brick:Outside_Air_Temperature_Sensor (and traverses subclasses with rdfs:subClassOf*). Inventing the terms ""Electric_Meter"" and ""Outdoor_Temperature_Sensor"" shows the model hallucinated vocabulary.",
MORTAR_008,,List all electricity usage meters alongside the devices that record outside air temperature.,lbl/cborg-coder,Topological Mismatch,"The generated query uses direct type assertions '?meter a brick:Building_Electrical_Meter' and '?sensor a brick:Outside_Air_Temperature_Sensor', ignoring that the required instances may be subclasses of these Brick classes. The ground‑truth query correctly employs 'rdf:type/rdfs:subClassOf*' to capture both direct and indirect subclass instances, indicating the model assumed a direct relationship where an indirect (subclass) relationship is needed.",
MORTAR_008,,What devices monitor electricity consumption and outdoor temperature?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the class brick:Electrical_Meter, which does not exist in the Brick ontology; the correct class is brick:Building_Electrical_Meter (or its subclasses). This invented vocabulary leads to an incorrect query that cannot match any instances. The query also omits the required subclass traversal (rdfs:subClassOf*), but the primary error is the use of a non‑existent class.",
MORTAR_009,,Which temperature sensors are connected to VAVs that serve HVAC zones?,lbl/cborg-coder,Vocabulary Hallucination,The generated query uses properties that do not exist (or are not appropriate) in the Brick ontology: it links sensors to VAVs via `brick:isPointOf` (instead of the correct `brick:hasPoint` inverse) and connects VAVs to zones via `brick:serves` (instead of the Brick property `brick:feeds` with a transitive path). These incorrect predicates indicate the model hallucinated vocabulary rather than using the valid Brick schema.,
MORTAR_009,,List all temperature sensors and the VAVs and zones they are part of.,lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct ?vav brick:isPartOf ?zone relationship and a fallback ?sensor brick:isLocationOf ?zone, which do not reflect the actual graph topology. The correct query uses the transitive brick:feeds+ predicate from VAV to HVAC_Zone and proper subclass reasoning. This mismatch of relationship direction and missing transitive path indicates a topological mismatch.",
MORTAR_009,,List the rooms and their hvac equipment that contains a temperature sensor,lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct relationship between HVAC equipment and a room using `?equip brick:hasLocation ?room`. The ground‑truth query shows that the correct topology is indirect: temperature sensors are points of a VAV, the VAV feeds one or more HVAC zones (`brick:feeds+ ?zone`), and zones are the entities associated with rooms. This mismatch in graph topology causes the generated query to look for a non‑existent direct location edge.",
MORTAR_009,,How can I learn the rooms and their temperature?,lbl/cborg-coder,ERROR,Received empty model response,
MORTAR_009,,"Which VAV units have a point temperature sensor and feed an HVAC zone, and what are the corresponding sensor and zone for each unit?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct VAV-to-zone link with `?vav brick:feeds ?zone .` and a direct type assertion `?vav a brick:VAV .`, whereas the ground‑truth query uses subclass reasoning (`rdf:type/rdfs:subClassOf* brick:VAV`) and a transitive property path (`brick:feeds+ ?zone`). This indicates the model incorrectly modeled the graph topology, assuming direct relationships that in the actual schema are indirect or hierarchical.",
MORTAR_009,,"Which variable air volume boxes are linked to temperature sensors, and which conditioned spaces do they serve?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct `brick:feeds ?space` relationship between VAVs and conditioned spaces and filters for `brick:Room` or `brick:HVAC_Zone`. The ground‑truth query uses the transitive path `brick:feeds+ ?zone` and only expects the zone to be a `brick:HVAC_Zone`. This mismatch shows the model assumed a direct edge where the graph actually requires an indirect (potentially multi‑hop) connection, which is a classic topological mismatch.",
MORTAR_009,,"For each air terminal equipped with a temperature sensor, which HVAC zones does it supply?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct `brick:feeds` relationship from the air terminal to the HVAC zone (`?airTerminal brick:feeds ?zone`). The ground‑truth query shows that the correct path is indirect, using a VAV device and a transitive `feeds+` relationship (`?vav brick:feeds+ ?zone`). This indicates a mismatch in graph topology, as the model ignored the intermediate VAV node and the need for a transitive closure. Additionally, the model used `brick:Air_Terminal` instead of the appropriate `brick:VAV`, which further reflects an incorrect understanding of the entity hierarchy.",Vocabulary Hallucination
MORTAR_009,,Which areas receive airflow from terminals that include temperature sensors?,lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct brick:feeds relationship between a generic brick:Terminal and an area (?terminal brick:feeds ?area), whereas the ground‑truth query requires an intermediate VAV device and a transitive feeds+ path (?vav brick:feeds+ ?zone) with the zone typed as brick:HVAC_Zone. This mismatch of graph topology leads to an incorrect query structure.",
MORTAR_009,,How is temperature monitored across the different HVAC zones in the building?,lbl/cborg-coder,Topological Mismatch,The generated query directly relates a temperature sensor to an HVAC zone with `?tempSensor brick:hasLocation ?zone` and selects zones with `?zone a brick:HVAC_Zone`. The ground‑truth query shows that a sensor is attached to a VAV (`brick:hasPoint`) and the VAV feeds the zone via `brick:feeds+`. The model therefore assumed a direct sensor‑to‑zone relationship that does not exist in the graph.,Vocabulary Hallucination
DFLEXLIBS_001,,"For each HVAC zone in the building, what are the timeseries IDs for the available zone temperature sensor' points, min and max temperature setpoints, temperature setpoints (single, heating/cooling or occupied/unoccupied), occupancy sensors and commands, and any related VAV damper, discharge temperature, and reheat command points?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct `brick:hasPart` link from an HVAC zone to a VAV box (`?zone brick:hasPart ?vav . ?vav a brick:Variable_Air_Volume_Box_With_Reheat`) while the ground‑truth model connects the VAV to the zone via `brick:feeds ?zone`. Also the query retrieves timeseries IDs directly with `ref:hasTimeseriesId` on the point, whereas the correct model uses an intermediate `ref:hasExternalReference` node (`ref:hasExternalReference/ref:hasTimeseriesId`). These incorrect graph traversals show a mismatch between the assumed topology and the actual Brick schema.",
DFLEXLIBS_002,,"For each AHU that supplies a zone, what are the timeseries IDs for all available points for supply air temperature, supply air flow, and supply air flow setpoint?",lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses predicates that are not defined in the Brick schema, such as `brick:hasTimeseries` and attempts to retrieve a timeseries ID via `rdfs:label`. The correct approach (shown in the ground‑truth query) is to use the reference namespace (`ref:hasExternalReference/ref:hasTimeseriesId`). This indicates the model invented vocabulary. Additionally, the query assumes a direct `brick:feeds` relationship between an AHU and a Zone, while the correct topology requires a two‑hop path (`brick:feeds/brick:feeds`). This shows a topological mismatch as a secondary issue.",Topological Mismatch
DFLEXLIBS_002,,"For the air handling unit that feeds a zone, what are the timeseries IDs of its supply air temperature sensor, supply air flow sensor, and supply air flow setpoint?",lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the predicate `brick:hasTimeseries` to retrieve timeseries IDs (e.g., `?temp_sensor brick:hasTimeseries ?temp_ts`). This predicate does not exist in the Brick schema; the correct pattern in the ground‑truth query is `ref:hasExternalReference/ref:hasTimeseriesId`. This invented vocabulary indicates a hallucination of ontology terms.
Additionally, the query assumes a direct `brick:feeds` relation between an AHU and a zone (`?ahu brick:feeds ?zone`), whereas the ground‑truth uses a two‑step path `brick:feeds/brick:feeds` to capture the indirect topology. This shows a secondary topological mismatch.",Topological Mismatch
DFLEXLIBS_002,,"Which timeseries identifiers correspond to the supply air temperature measurement, supply air flow measurement, and flow setpoint of the AHU supplying air to a space?",lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the class `brick:Supply_Air_Temperature_Setpoint` for the setpoint point (`?setpointPoint a brick:Supply_Air_Temperature_Setpoint .`). The ground‑truth query (and the underlying graph) expects a flow setpoint, i.e., `brick:Supply_Air_Flow_Setpoint`. This incorrect class name is an invented/incorrect vocabulary term, leading to a query that would not match any data.",
DFLEXLIBS_002,,"How can I retrieve the timeseries IDs for an AHU’s supply air temperature, airflow rate readings, and its airflow setpoint?",lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the predicate `brick:hasTimeseriesId` for both sensors and the setpoint (e.g., `?temp_sensor brick:hasTimeseriesId ?temp_ts`). This property does not exist in the Brick ontology; the correct way to retrieve a timeseries ID is via the reference namespace `ref:hasExternalReference/ref:hasTimeseriesId` as shown in the ground‑truth query. Additionally, the query invents a direct `brick:hasPoint` relationship from the AHU to its points, bypassing the required `brick:feeds/brick:feeds` intermediate zone relationship, indicating a topological mismatch as a secondary issue.",Topological Mismatch
DFLEXLIBS_002,,Where can I find the timeseries IDs for an air handling unit’s supply-side measurements?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses predicates that do not exist in the Brick schema, e.g., `brick:hasTimeseries` to retrieve a timeseries identifier and `brick:hasPart` to relate an AHU to its sensors. The correct model uses `brick:hasPoint` (or the `brick:feeds/brick:feeds` pattern) and accesses timeseries via `brick:hasExternalReference` → `ref:hasTimeseriesId`. These invented terms indicate a hallucination of vocabulary.",Topological Mismatch
DFLEXLIBS_002,,How do I access the supply air measurement data for an AHU?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query references the class brick:Supply_Air_Static_Pressure_Sensor in the FILTER clause, but the building summary shows no instances of that class (class_counts list includes only Supply_Air_Temperature_Sensor and Supply_Air_Flow_Sensor). This term does not exist in the current Brick schema deployment, indicating the model invented a vocabulary term. Additionally, the query includes brick:Mixed_Air_Temperature_Sensor as a ""supply"" type, which is semantically unrelated.",
